,AZ,,,,,,,,,,,,GA,,,,,,,,,,,,MI,,,,,,,,,,,,NV,,,,,,,,,,,,NC,,,,,,,,,,,,PA,,,,,,,,,,,,WI,,,,,,,,,,,
Label (Grouping),Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error,Total,Margin of Error,Percent,Percent Margin of Error,Male,Male Margin of Error,Percent  Male,Percent  Male Margin of Error,Female,Female Margin of Error,Percent Female,Percent Female Margin of Error
Total population,"7,431,344",*****,(X),(X),"3,708,672","±2,905",(X),(X),"3,722,672","±2,905",(X),(X),"11,029,227",*****,(X),(X),"5,378,504","±7,549",(X),(X),"5,650,723","±7,549",(X),(X),"10,037,261",*****,(X),(X),"4,965,517","±4,782",(X),(X),"5,071,744","±4,782",(X),(X),"3,194,176",*****,(X),(X),"1,607,494","±2,547",(X),(X),"1,586,682","±2,547",(X),(X),"10,835,491",*****,(X),(X),"5,312,054","±7,257",(X),(X),"5,523,437","±7,257",(X),(X),"12,961,683",*****,(X),(X),"6,389,335","±4,098",(X),(X),"6,572,348","±4,098",(X),(X),"5,910,955",*****,(X),(X),"2,959,408","±3,694",(X),(X),"2,951,547","±3,694",(X),(X)
    AGE,,,,,,,,,GA+Z1:AI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 5 years,"391,142","±1,573",5.30%,±0.1,"198,924","±1,851",5.40%,±0.1,"192,218","±1,719",5.20%,±0.1,"621,750","±5,911",5.60%,±0.1,"317,176","±5,070",5.90%,±0.1,"304,574","±4,351",5.40%,±0.1,"529,459","±2,559",5.30%,±0.1,"268,093","±2,715",5.40%,±0.1,"261,366","±2,942",5.20%,±0.1,"171,163","±1,424",5.40%,±0.1,"87,498","±1,440",5.40%,±0.1,"83,665","±1,451",5.30%,±0.1,"594,739","±4,846",5.50%,±0.1,"308,104","±4,812",5.80%,±0.1,"286,635","±4,409",5.20%,±0.1,"663,339","±2,396",5.10%,±0.1,"341,941","±2,629",5.40%,±0.1,"321,398","±2,726",4.90%,±0.1,"307,874","±2,354",5.20%,±0.1,"157,705","±2,156",5.30%,±0.1,"150,169","±2,321",5.10%,±0.1
        5 to 9 years,"435,723","±9,679",5.90%,±0.1,"225,378","±6,806",6.10%,±0.2,"210,345","±7,142",5.70%,±0.2,"688,835","±12,020",6.20%,±0.1,"351,495","±8,932",6.50%,±0.2,"337,340","±8,396",6.00%,±0.1,"581,280","±9,619",5.80%,±0.1,"298,488","±6,405",6.00%,±0.1,"282,792","±6,587",5.60%,±0.1,"190,758","±5,732",6.00%,±0.2,"93,419","±4,286",5.80%,±0.3,"97,339","±5,289",6.10%,±0.3,"641,236","±11,476",5.90%,±0.1,"332,857","±8,152",6.30%,±0.2,"308,379","±9,228",5.60%,±0.2,"706,358","±9,893",5.40%,±0.1,"362,192","±8,394",5.70%,±0.1,"344,166","±6,886",5.20%,±0.1,"347,068","±7,744",5.90%,±0.1,"179,416","±5,173",6.10%,±0.2,"167,652","±5,317",5.70%,±0.2
        10 to 14 years,"454,506","±9,617",6.10%,±0.1,"230,042","±6,609",6.20%,±0.2,"224,464","±7,422",6.00%,±0.2,"746,320","±11,638",6.80%,±0.1,"383,224","±9,199",7.10%,±0.2,"363,096","±8,961",6.40%,±0.2,"611,729","±9,655",6.10%,±0.1,"313,054","±6,656",6.30%,±0.1,"298,675","±6,616",5.90%,±0.1,"196,263","±5,798",6.10%,±0.2,"104,521","±4,204",6.50%,±0.3,"91,742","±5,017",5.80%,±0.3,"658,597","±11,832",6.10%,±0.1,"341,630","±9,233",6.40%,±0.2,"316,967","±8,652",5.70%,±0.2,"774,701","±10,446",6.00%,±0.1,"395,236","±8,305",6.20%,±0.1,"379,465","±7,137",5.80%,±0.1,"354,836","±7,599",6.00%,±0.1,"181,008","±4,862",6.10%,±0.2,"173,828","±5,429",5.90%,±0.2
        15 to 19 years,"501,122","±4,275",6.70%,±0.1,"258,363","±3,075",7.00%,±0.1,"242,759","±2,672",6.50%,±0.1,"779,849","±8,409",7.10%,±0.1,"401,967","±7,078",7.50%,±0.1,"377,882","±6,282",6.70%,±0.1,"647,022","±4,641",6.40%,±0.1,"331,860","±3,845",6.70%,±0.1,"315,162","±3,856",6.20%,±0.1,"199,389","±3,213",6.20%,±0.1,"104,460","±2,546",6.50%,±0.2,"94,929","±1,855",6.00%,±0.1,"729,451","±8,128",6.70%,±0.1,"378,596","±6,084",7.10%,±0.1,"350,855","±7,187",6.40%,±0.1,"847,344","±4,858",6.50%,±0.1,"428,178","±4,100",6.70%,±0.1,"419,166","±4,084",6.40%,±0.1,"389,433","±4,690",6.60%,±0.1,"200,383","±3,725",6.80%,±0.1,"189,050","±2,950",6.40%,±0.1
        20 to 24 years,"498,597","±3,903",6.70%,±0.1,"258,218","±2,496",7.00%,±0.1,"240,379","±2,483",6.50%,±0.1,"744,354","±9,197",6.70%,±0.1,"379,919","±6,786",7.10%,±0.1,"364,435","±5,690",6.40%,±0.1,"659,915","±5,185",6.60%,±0.1,"333,941","±3,010",6.70%,±0.1,"325,974","±4,002",6.40%,±0.1,"183,350","±2,455",5.70%,±0.1,"93,717","±1,528",5.80%,±0.1,"89,633","±1,756",5.60%,±0.1,"723,916","±7,549",6.70%,±0.1,"375,914","±6,000",7.10%,±0.1,"348,002","±5,502",6.30%,±0.1,"798,935","±5,183",6.20%,±0.1,"407,613","±3,793",6.40%,±0.1,"391,322","±3,468",6.00%,±0.1,"395,528","±4,119",6.70%,±0.1,"200,952","±2,998",6.80%,±0.1,"194,576","±2,622",6.60%,±0.1
        25 to 29 years,"506,283","±2,593",6.80%,±0.1,"261,367","±1,873",7.00%,±0.1,"244,916","±1,523",6.60%,±0.1,"735,418","±7,511",6.70%,±0.1,"367,559","±5,434",6.80%,±0.1,"367,859","±5,375",6.50%,±0.1,"633,703","±3,553",6.30%,±0.1,"324,985","±2,895",6.50%,±0.1,"308,718","±2,141",6.10%,±0.1,"215,003","±2,382",6.70%,±0.1,"110,239","±1,761",6.90%,±0.1,"104,764","±1,349",6.60%,±0.1,"700,558","±7,769",6.50%,±0.1,"350,478","±5,809",6.60%,±0.1,"350,080","±4,536",6.30%,±0.1,"785,892","±3,495",6.10%,±0.1,"399,551","±2,690",6.30%,±0.1,"386,341","±2,224",5.90%,±0.1,"364,729","±3,411",6.20%,±0.1,"188,222","±2,442",6.40%,±0.1,"176,507","±2,247",6.00%,±0.1
        30 to 34 years,"520,705","±2,616",7.00%,±0.1,"271,047","±2,047",7.30%,±0.1,"249,658","±1,651",6.70%,±0.1,"781,199","±8,090",7.10%,±0.1,"382,001","±4,574",7.10%,±0.1,"399,198","±5,892",7.10%,±0.1,"680,649","±3,841",6.80%,±0.1,"346,366","±2,595",7.00%,±0.1,"334,283","±2,603",6.60%,±0.1,"240,589","±2,695",7.50%,±0.1,"122,403","±1,608",7.60%,±0.1,"118,186","±1,717",7.40%,±0.1,"743,213","±8,388",6.90%,±0.1,"367,590","±5,677",6.90%,±0.1,"375,623","±4,404",6.80%,±0.1,"865,513","±3,855",6.70%,±0.1,"438,912","±2,965",6.90%,±0.1,"426,601","±2,713",6.50%,±0.1,"376,995","±4,065",6.40%,±0.1,"191,798","±2,598",6.50%,±0.1,"185,197","±2,618",6.30%,±0.1
        35 to 39 years,"475,102","±12,649",6.40%,±0.2,"245,022","±8,047",6.60%,±0.2,"230,080","±7,091",6.20%,±0.2,"739,394","±14,801",6.70%,±0.1,"360,989","±8,709",6.70%,±0.2,"378,405","±10,085",6.70%,±0.2,"617,475","±10,446",6.20%,±0.1,"308,290","±6,830",6.20%,±0.1,"309,185","±6,895",6.10%,±0.1,"226,041","±8,005",7.10%,±0.3,"114,131","±5,087",7.10%,±0.3,"111,910","±4,514",7.10%,±0.3,"702,717","±14,368",6.50%,±0.1,"345,834","±8,884",6.50%,±0.2,"356,883","±9,840",6.50%,±0.2,"860,853","±12,605",6.60%,±0.1,"434,490","±9,104",6.80%,±0.1,"426,363","±7,369",6.50%,±0.1,"379,586","±6,977",6.40%,±0.1,"193,661","±5,035",6.50%,±0.2,"185,925","±4,216",6.30%,±0.1
        40 to 44 years,"467,226","±12,283",6.30%,±0.2,"236,596","±8,107",6.40%,±0.2,"230,630","±6,931",6.20%,±0.2,"747,522","±13,158",6.80%,±0.1,"354,385","±8,527",6.60%,±0.2,"393,137","±8,960",7.00%,±0.2,"611,978","±10,704",6.10%,±0.1,"306,223","±6,929",6.20%,±0.1,"305,755","±7,434",6.00%,±0.1,"220,694","±7,600",6.90%,±0.2,"114,595","±4,942",7.10%,±0.3,"106,099","±4,626",6.70%,±0.3,"702,189","±15,178",6.50%,±0.1,"339,442","±8,837",6.40%,±0.2,"362,747","±10,403",6.60%,±0.2,"799,306","±11,807",6.20%,±0.1,"401,043","±9,133",6.30%,±0.1,"398,263","±7,458",6.10%,±0.1,"371,818","±7,436",6.30%,±0.1,"185,872","±4,759",6.30%,±0.2,"185,946","±4,871",6.30%,±0.2
        45 to 49 years,"424,460","±2,938",5.70%,±0.1,"212,790","±1,957",5.70%,±0.1,"211,670","±1,964",5.70%,±0.1,"683,951","±7,024",6.20%,±0.1,"330,763","±4,573",6.10%,±0.1,"353,188","±5,100",6.30%,±0.1,"567,058","±3,032",5.60%,±0.1,"281,746","±2,278",5.70%,±0.1,"285,312","±2,215",5.60%,±0.1,"195,940","±2,092",6.10%,±0.1,"98,923","±1,449",6.20%,±0.1,"97,017","±1,364",6.10%,±0.1,"652,884","±7,397",6.00%,±0.1,"316,123","±4,237",6.00%,±0.1,"336,761","±4,859",6.10%,±0.1,"726,879","±4,482",5.60%,±0.1,"365,805","±3,123",5.70%,±0.1,"361,074","±3,097",5.50%,±0.1,"333,758","±2,865",5.60%,±0.1,"170,751","±1,643",5.80%,±0.1,"163,007","±2,171",5.50%,±0.1
        50 to 54 years,"438,405","±2,654",5.90%,±0.1,"218,268","±1,947",5.90%,±0.1,"220,137","±1,338",5.90%,±0.1,"722,758","±6,869",6.60%,±0.1,"353,385","±5,018",6.60%,±0.1,"369,373","±3,821",6.50%,±0.1,"627,278","±2,838",6.20%,±0.1,"312,435","±1,878",6.30%,±0.1,"314,843","±2,139",6.20%,±0.1,"205,130","±2,169",6.40%,±0.1,"103,754","±1,453",6.50%,±0.1,"101,376","±1,250",6.40%,±0.1,"700,335","±5,834",6.50%,±0.1,"345,824","±3,733",6.50%,±0.1,"354,511","±3,773",6.40%,±0.1,"797,213","±3,822",6.20%,±0.1,"396,730","±2,780",6.20%,±0.1,"400,483","±2,473",6.10%,±0.1,"354,763","±2,628",6.00%,±0.1,"180,329","±1,765",6.10%,±0.1,"174,434","±1,758",5.90%,±0.1
        55 to 59 years,"412,511","±9,767",5.60%,±0.1,"200,473","±5,934",5.40%,±0.2,"212,038","±6,384",5.70%,±0.2,"667,422","±11,270",6.10%,±0.1,"322,848","±6,946",6.00%,±0.1,"344,574","±7,954",6.10%,±0.1,"640,195","±8,014",6.40%,±0.1,"319,486","±6,678",6.40%,±0.1,"320,709","±6,058",6.30%,±0.1,"192,508","±4,744",6.00%,±0.1,"95,754","±3,616",6.00%,±0.2,"96,754","±3,359",6.10%,±0.2,"675,234","±12,286",6.20%,±0.1,"326,532","±8,458",6.10%,±0.2,"348,702","±7,286",6.30%,±0.1,"835,881","±11,882",6.40%,±0.1,"409,113","±8,552",6.40%,±0.1,"426,768","±6,636",6.50%,±0.1,"381,987","±6,196",6.50%,±0.1,"192,344","±4,090",6.50%,±0.1,"189,643","±4,268",6.40%,±0.1
        60 to 64 years,"467,831","±9,747",6.30%,±0.1,"228,408","±6,030",6.20%,±0.2,"239,423","±6,406",6.40%,±0.2,"671,205","±11,405",6.10%,±0.1,"323,404","±6,946",6.00%,±0.1,"347,801","±7,649",6.20%,±0.1,"697,295","±8,446",6.90%,±0.1,"338,291","±6,937",6.80%,±0.1,"359,004","±5,802",7.10%,±0.1,"202,489","±4,728",6.30%,±0.1,"102,126","±3,664",6.40%,±0.2,"100,363","±3,404",6.30%,±0.2,"695,066","±11,619",6.40%,±0.1,"334,195","±7,901",6.30%,±0.2,"360,871","±7,373",6.50%,±0.1,"901,515","±11,928",7.00%,±0.1,"443,782","±8,643",6.90%,±0.1,"457,733","±6,697",7.00%,±0.1,"419,185","±5,766",7.10%,±0.1,"206,300","±4,212",7.00%,±0.1,"212,885","±3,788",7.20%,±0.1
        65 to 69 years,"423,759","±7,227",5.70%,±0.1,"201,481","±4,223",5.40%,±0.1,"222,278","±5,017",6.00%,±0.1,"564,304","±9,540",5.10%,±0.1,"265,836","±5,279",4.90%,±0.1,"298,468","±7,637",5.30%,±0.1,"637,646","±8,136",6.40%,±0.1,"304,325","±4,684",6.10%,±0.1,"333,321","±5,897",6.60%,±0.1,"177,646","±5,737",5.60%,±0.2,"83,139","±3,482",5.20%,±0.2,"94,507","±3,791",6.00%,±0.2,"624,894","±9,762",5.80%,±0.1,"294,778","±7,000",5.50%,±0.1,"330,116","±6,440",6.00%,±0.1,"823,450","±10,138",6.40%,±0.1,"394,965","±6,714",6.20%,±0.1,"428,485","±6,341",6.50%,±0.1,"378,204","±6,475",6.40%,±0.1,"184,685","±3,801",6.20%,±0.1,"193,519","±4,281",6.60%,±0.1
